!SIL	SIL
<SPOKEN_NOISE>	SPN
<UNK>	SPN
㖊	ts^II M6^MM;4 m^FF
㖞	w^II OM^FF;3
一	j^II M6^MM;1 t^FF
一一	j^II M6^MM;1 t^MF j^MI M6^MM;1 t^FF
一万	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^FF
一万一千	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF j^MI M6^MM;1 t^MF ts^MI iM^MM;1 n^FF
一万七千	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF ts^MI M6^MM;1 t^MF ts^MI iM^MM;1 n^FF
一万三千	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF s^MI aM^MM;1 m^MF ts^MI iM^MM;1 n^FF
一万五	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF N^FI;5
一万五千	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF N^MI;5 ts^MI iM^MM;1 n^FF
一万五千元	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF N^MI;5 ts^MI iM^MM;1 n^MF j^MI yM^MM;4 n^FF
一万元	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF j^MI yM^MM;4 n^FF
一万四千	j^II M6^MM;1 t^MF m^MI aM^MM;6 n^MF s^MI ej^MF;3 ts^MI iM^MM;1 n^FF
一上	j^II M6^MM;1 t^MF s^MI M9M^MM;5 N^FF
一下	j^II M6^MM;1 t^MF h^MI aM^FF;5
一两	j^II M6^MM;1 t^MF l^MI M9M^MM;5 N^FF
一两年	j^II M6^MM;1 t^MF l^MI M9M^MM;5 N^MF n^MI iM^MM;4 n^FF
一个	j^II M6^MM;1 t^MF g^MI OM^FF;3
一个月	j^II M6^MM;1 t^MF g^MI OM^MF;3 j^MI yM^MM;6 t^FF
一九	j^II M6^MM;1 t^MF g^MI M6w^FF;2
一九九	j^II M6^MM;1 t^MF g^MI M6w^MF;2 g^MI M6w^FF;2
一九九三	j^II M6^MM;1 t^MF g^MI M6w^MF;2 g^MI M6w^MF;2 s^MI aM^MM;1 m^FF
一九九三年	j^II M6^MM;1 t^MF g^MI M6w^MF;2 g^MI M6w^MF;2 s^MI aM^MM;1 m^MF l^MI iM^MM;4 n^FF
一九九九年	j^II M6^MM;1 t^MF g^MI M6w^MF;2 g^MI M6w^MF;2 g^MI M6w^MF;2 l^MI iM^MM;4 n^FF
一九九二	j^II M6^MM;1 t^MF g^MI M6w^MF;2 g^MI M6w^MF;2 j^MI iM^FF;6
一九九二年	j^II M6^MM;1 t^MF g^MI M6w^MF;2 g^MI M6w^MF;2 j^MI iM^MF;6 l^MI iM^MM;4 n^FF
一九八	j^II M6^MM;1 t^MF g^MI M6w^MF;2 b^MI aM^MM;3 t^FF
一九八五年	j^II M6^MM;1 t^MF g^MI M6w^MF;2 b^MI aM^MM;3 t^MF m^MI;5 l^MI iM^MM;4 n^FF
一九四	j^II M6^MM;1 t^MF g^MI M6w^MF;2 s^MI ej^FF;3
一九四八	j^II M6^MM;1 t^MF g^MI M6w^MF;2 s^MI ej^MF;3 b^MI aM^MM;3 t^FF
一九四八年	j^II M6^MM;1 t^MF g^MI M6w^MF;2 s^MI ej^MF;3 b^MI aM^MM;3 t^MF l^MI iM^MM;4 n^FF
一二	j^II M6^MM;1 t^MF j^MI iM^FF;6
一五	j^II M6^MM;1 t^MF N^FI;5
一些	j^II M6^MM;1 t^MF s^MI EM^FF;1
一亿	j^II M6^MM;1 t^MF j^MI iM^MM;1 k^FF
一亿五千万	j^II M6^MM;1 t^MF j^MI iM^MM;1 k^MF N^MI;5 ts^MI iM^MM;1 n^MF m^MI aM^MM;6 n^FF
一件	j^II M6^MM;1 t^MF g^MI iM^MM;6 n^FF
一份	j^II M6^MM;1 t^MF f^MI M6^MM;6 n^FF
一位	j^II M6^MM;1 t^MF w^MI M6j^FF;2
一体	j^II M6^MM;1 t^MF t^MI M6j^FF;2
一倍	j^II M6^MM;1 t^MF p^MI uMj^FF;5
一八	j^II M6^MM;1 t^MF b^MI aM^MM;3 t^FF
一公顷	j^II M6^MM;1 t^MF g^MI uM^MM;1 N^MF k^MI iM^MM;5 N^FF
一再	j^II M6^MM;1 t^MF dz^MI OMj^FF;3
一切	j^II M6^MM;1 t^MF ts^MI M6j^FF;3
一列	j^II M6^MM;1 t^MF l^MI iM^MM;6 t^FF
一副	j^II M6^MM;1 t^MF f^MI uM^FF;3
一包	j^II M6^MM;1 t^MF b^MI aMw^FF;1
一十	j^II M6^MM;1 t^MF s^MI M6^MM;6 p^FF
一十八	j^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF b^MI aM^MM;3 t^FF
一十八个	j^II M6^MM;1 t^MF s^MI M6^MM;6 p^MF b^MI aM^MM;3 t^MF g^MI OM^FF;3
一千	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^FF
一千一百	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF j^MI M6^MM;1 t^MF b^MI aM^MM;3 k^FF
一千三百	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF s^MI aM^MM;1 m^MF b^MI aM^MM;3 k^FF
一千三百名	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF s^MI aM^MM;1 m^MF b^MI aM^MM;3 k^MF m^MI iM^MM;4 N^FF
一千个	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF g^MI OM^FF;3
一千五	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF N^FI;5
一千五百	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF N^MI;5 b^MI aM^MM;3 k^FF
一千五百米	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF N^MI;5 b^MI aM^MM;3 k^MF m^MI M6j^FF;1
一千元	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF j^MI yM^MM;4 n^FF
一千八百	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF b^MI aM^MM;3 t^MF b^MI aM^MM;3 k^FF
一千名	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF m^MI iM^MM;4 N^FF
一千多	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF d^MI OM^FF;1
一千美元	j^II M6^MM;1 t^MF ts^MI iM^MM;1 n^MF m^MI ej^MF;5 j^MI yM^MM;4 n^FF
一半	j^II M6^MM;1 t^MF b^MI uM^MM;3 n^FF
一发	j^II M6^MM;1 t^MF f^MI aM^MM;3 t^FF
一句	j^II M6^MM;1 t^MF g^MI M9y^FF;3
一只	j^II M6^MM;1 t^MF dz^MI EM^MM;3 k^FF
一号	j^II M6^MM;1 t^MF h^MI ow^FF;6
一名	j^II M6^MM;1 t^MF m^MI iM^MM;4 N^FF
一向	j^II M6^MM;1 t^MF h^MI M9M^MM;3 N^FF
一周	j^II M6^MM;1 t^MF dz^MI M6w^FF;1
一国两制	j^II M6^MM;1 t^MF gw^MI OM^MM;3 k^MF l^MI M9M^MM;5 N^MF dz^MI M6j^FF;3
一圈	j^II M6^MM;1 t^MF h^MI yM^MM;1 n^FF
一场	j^II M6^MM;1 t^MF ts^MI M9M^MM;4 N^FF
